fips,county,floor,activity,ura_county
27001,AITKIN              ,1,2.2,0.502054
27001,AITKIN              ,0,2.2,0.502054
27001,AITKIN              ,0,2.9,0.502054
27001,AITKIN              ,0,1,0.502054
27003,ANOKA               ,0,3.1,0.428565
27003,ANOKA               ,0,2.5,0.428565
27003,ANOKA               ,0,1.5,0.428565
27003,ANOKA               ,0,1,0.428565
27003,ANOKA               ,0,0.7,0.428565
27003,ANOKA               ,0,1.2,0.428565
27003,ANOKA               ,0,1.2,0.428565
27003,ANOKA               ,0,1.3,0.428565
27003,ANOKA               ,0,1.4,0.428565
27003,ANOKA               ,0,0.4,0.428565
27003,ANOKA               ,0,1.1,0.428565
27003,ANOKA               ,0,4.5,0.428565
27003,ANOKA               ,0,1.3,0.428565
27003,ANOKA               ,0,2.1,0.428565
27003,ANOKA               ,0,5.9,0.428565
27003,ANOKA               ,0,3.3,0.428565
27003,ANOKA               ,0,1.8,0.428565
27003,ANOKA               ,0,5.4,0.428565
27003,ANOKA               ,0,6.3,0.428565
27003,ANOKA               ,0,1.9,0.428565
27003,ANOKA               ,0,6.6,0.428565
27003,ANOKA               ,0,3.1,0.428565
27003,ANOKA               ,0,6.8,0.428565
27003,ANOKA               ,0,7,0.428565
27003,ANOKA               ,0,7.7,0.428565
27003,ANOKA               ,0,5.2,0.428565
27003,ANOKA               ,0,4.5,0.428565
27003,ANOKA               ,0,4.4,0.428565
27003,ANOKA               ,0,2.8,0.428565
27003,ANOKA               ,0,8.1,0.428565
27003,ANOKA               ,0,1.6,0.428565
27003,ANOKA               ,0,4.2,0.428565
27003,ANOKA               ,0,5.4,0.428565
27003,ANOKA               ,0,4,0.428565
27003,ANOKA               ,0,2.3,0.428565
27003,ANOKA               ,0,2.9,0.428565
27003,ANOKA               ,0,1.4,0.428565
27003,ANOKA               ,0,3.3,0.428565
27003,ANOKA               ,0,2.9,0.428565
27003,ANOKA               ,1,1.8,0.428565
27003,ANOKA               ,1,0.2,0.428565
27003,ANOKA               ,0,2.4,0.428565
27003,ANOKA               ,1,1.1,0.428565
27003,ANOKA               ,0,2.2,0.428565
27003,ANOKA               ,0,0.6,0.428565
27003,ANOKA               ,0,1.7,0.428565
27003,ANOKA               ,0,2.9,0.428565
27003,ANOKA               ,0,2.2,0.428565
27003,ANOKA               ,0,1.7,0.428565
27003,ANOKA               ,0,1.4,0.428565
27003,ANOKA               ,0,1.9,0.428565
27003,ANOKA               ,0,1.8,0.428565
27005,BECKER              ,1,1.2,0.892741
27005,BECKER              ,0,4.3,0.892741
27005,BECKER              ,1,4.5,0.892741
27007,BELTRAMI            ,0,6.3,0.552472
27007,BELTRAMI            ,0,4.6,0.552472
27007,BELTRAMI            ,0,5.7,0.552472
27007,BELTRAMI            ,1,2.2,0.552472
27007,BELTRAMI            ,1,0.4,0.552472
27007,BELTRAMI            ,1,4.6,0.552472
27007,BELTRAMI            ,1,4.4,0.552472
27009,BENTON              ,0,6.6,0.866849
27009,BENTON              ,0,2.7,0.866849
27009,BENTON              ,1,2.9,0.866849
27009,BENTON              ,0,2.9,0.866849
27011,BIG STONE           ,0,7.2,1.47264
27011,BIG STONE           ,0,5,1.47264
27011,BIG STONE           ,0,2.6,1.47264
27013,BLUE EARTH          ,0,5,1.31208
27013,BLUE EARTH          ,0,13,1.31208
27013,BLUE EARTH          ,0,7.2,1.31208
27013,BLUE EARTH          ,0,6.8,1.31208
27013,BLUE EARTH          ,0,12.8,1.31208
27013,BLUE EARTH          ,1,5.8,1.31208
27013,BLUE EARTH          ,0,9.5,1.31208
27013,BLUE EARTH          ,0,6,1.31208
27013,BLUE EARTH          ,0,3.8,1.31208
27013,BLUE EARTH          ,1,14.3,1.31208
27013,BLUE EARTH          ,0,1.8,1.31208
27013,BLUE EARTH          ,0,6.9,1.31208
27013,BLUE EARTH          ,0,4.7,1.31208
27013,BLUE EARTH          ,0,9.5,1.31208
27015,BROWN               ,1,2.5,1.31993
27015,BROWN               ,0,6.7,1.31993
27015,BROWN               ,1,4,1.31993
27015,BROWN               ,0,10.1,1.31993
27017,CARLTON             ,0,2.2,0.717261
27017,CARLTON             ,0,1.8,0.717261
27017,CARLTON             ,0,3.4,0.717261
27017,CARLTON             ,1,5.6,0.717261
27017,CARLTON             ,0,4.3,0.717261
27017,CARLTON             ,0,3.9,0.717261
27017,CARLTON             ,0,1.3,0.717261
27017,CARLTON             ,0,4.2,0.717261
27017,CARLTON             ,0,0.8,0.717261
27017,CARLTON             ,0,2,0.717261
27019,CARVER              ,0,1.6,1.10061
27019,CARVER              ,0,1.6,1.10061
27019,CARVER              ,0,12.9,1.10061
27019,CARVER              ,0,12.9,1.10061
27019,CARVER              ,1,14.7,1.10061
27019,CARVER              ,1,14.7,1.10061
27019,CARVER              ,1,4.7,1.10061
27019,CARVER              ,1,4.7,1.10061
27019,CARVER              ,0,9.6,1.10061
27019,CARVER              ,0,9.6,1.10061
27019,CARVER              ,1,0.1,1.10061
27019,CARVER              ,1,0.1,1.10061
27021,CASS                ,0,3.7,0.544319
27021,CASS                ,0,7.4,0.544319
27021,CASS                ,0,1.9,0.544319
27021,CASS                ,0,5.3,0.544319
27021,CASS                ,0,4,0.544319
27023,CHIPPEWA            ,0,7.7,1.3148
27023,CHIPPEWA            ,0,1.4,1.3148
27023,CHIPPEWA            ,0,10,1.3148
27023,CHIPPEWA            ,0,9.4,1.3148
27025,CHISAGO             ,0,0.8,0.479352
27025,CHISAGO             ,0,4.4,0.479352
27025,CHISAGO             ,0,5,0.479352
27025,CHISAGO             ,0,2.1,0.479352
27025,CHISAGO             ,0,1.7,0.479352
27025,CHISAGO             ,0,8.1,0.479352
27027,CLAY                ,1,0.9,1.41027
27027,CLAY                ,0,12.9,1.41027
27027,CLAY                ,0,2.6,1.41027
27027,CLAY                ,1,3.5,1.41027
27027,CLAY                ,0,26.6,1.41027
27027,CLAY                ,0,1.5,1.41027
27027,CLAY                ,0,13,1.41027
27027,CLAY                ,0,8.8,1.41027
27027,CLAY                ,0,19.5,1.41027
27027,CLAY                ,1,2.5,1.41027
27027,CLAY                ,0,9,1.41027
27027,CLAY                ,0,13.1,1.41027
27027,CLAY                ,0,3.6,1.41027
27027,CLAY                ,1,6.9,1.41027
27029,CLEARWATER          ,1,4.8,0.941896
27029,CLEARWATER          ,0,3.4,0.941896
27029,CLEARWATER          ,1,0.9,0.941896
27029,CLEARWATER          ,0,3.4,0.941896
27031,COOK                ,0,2.7,0.603508
27031,COOK                ,0,1.4,0.603508
27033,COTTONWOOD          ,0,6.8,1.40433
27033,COTTONWOOD          ,1,11.1,1.40433
27033,COTTONWOOD          ,1,0.1,1.40433
27033,COTTONWOOD          ,1,2.5,1.40433
27035,CROW WING           ,0,1.8,0.530789
27035,CROW WING           ,0,1.6,0.530789
27035,CROW WING           ,1,1,0.530789
27035,CROW WING           ,0,0.9,0.530789
27035,CROW WING           ,0,2.9,0.530789
27035,CROW WING           ,0,4.4,0.530789
27035,CROW WING           ,0,1.5,0.530789
27035,CROW WING           ,0,4.1,0.530789
27035,CROW WING           ,1,2.5,0.530789
27035,CROW WING           ,1,6.7,0.530789
27035,CROW WING           ,0,4.3,0.530789
27035,CROW WING           ,0,5.5,0.530789
27037,DAKOTA              ,0,3.6,0.976144
27037,DAKOTA              ,0,2.8,0.976144
27037,DAKOTA              ,0,14.6,0.976144
27037,DAKOTA              ,0,6.7,0.976144
27037,DAKOTA              ,0,8,0.976144
27037,DAKOTA              ,0,2.6,0.976144
27037,DAKOTA              ,1,2.8,0.976144
27037,DAKOTA              ,0,4.4,0.976144
27037,DAKOTA              ,1,1.7,0.976144
27037,DAKOTA              ,0,2,0.976144
27037,DAKOTA              ,0,2,0.976144
27037,DAKOTA              ,0,1.5,0.976144
27037,DAKOTA              ,0,9.6,0.976144
27037,DAKOTA              ,0,8.1,0.976144
27037,DAKOTA              ,0,3.5,0.976144
27037,DAKOTA              ,1,0.8,0.976144
27037,DAKOTA              ,0,5.1,0.976144
27037,DAKOTA              ,0,3.2,0.976144
27037,DAKOTA              ,0,10.8,0.976144
27037,DAKOTA              ,0,8.2,0.976144
27037,DAKOTA              ,0,6.3,0.976144
27037,DAKOTA              ,0,4.8,0.976144
27037,DAKOTA              ,0,6,0.976144
27037,DAKOTA              ,0,1.1,0.976144
27037,DAKOTA              ,0,8.7,0.976144
27037,DAKOTA              ,0,8.8,0.976144
27037,DAKOTA              ,0,6.8,0.976144
27037,DAKOTA              ,0,2.3,0.976144
27037,DAKOTA              ,0,1.6,0.976144
27037,DAKOTA              ,0,2.8,0.976144
27037,DAKOTA              ,0,6.5,0.976144
27037,DAKOTA              ,0,1.7,0.976144
27037,DAKOTA              ,0,4.6,0.976144
27037,DAKOTA              ,0,3.3,0.976144
27037,DAKOTA              ,0,4.4,0.976144
27037,DAKOTA              ,0,21.2,0.976144
27037,DAKOTA              ,0,9.1,0.976144
27037,DAKOTA              ,0,0.9,0.976144
27037,DAKOTA              ,0,4.9,0.976144
27037,DAKOTA              ,0,5,0.976144
27037,DAKOTA              ,0,1.1,0.976144
27037,DAKOTA              ,0,7.6,0.976144
27037,DAKOTA              ,0,5.4,0.976144
27037,DAKOTA              ,0,3.6,0.976144
27037,DAKOTA              ,0,4.9,0.976144
27037,DAKOTA              ,0,4.7,0.976144
27037,DAKOTA              ,0,1.4,0.976144
27037,DAKOTA              ,0,3.4,0.976144
27037,DAKOTA              ,0,4.2,0.976144
27037,DAKOTA              ,0,2.5,0.976144
27037,DAKOTA              ,0,1.4,0.976144
27037,DAKOTA              ,0,1.4,0.976144
27037,DAKOTA              ,0,1.9,0.976144
27037,DAKOTA              ,0,4.8,0.976144
27037,DAKOTA              ,1,1.4,0.976144
27037,DAKOTA              ,0,3.8,0.976144
27037,DAKOTA              ,0,8.8,0.976144
27037,DAKOTA              ,0,4.3,0.976144
27037,DAKOTA              ,0,4.4,0.976144
27037,DAKOTA              ,0,4.5,0.976144
27037,DAKOTA              ,0,2.2,0.976144
27037,DAKOTA              ,0,0.5,0.976144
27037,DAKOTA              ,0,5.8,0.976144
27039,DODGE               ,0,5.4,1.30194
27039,DODGE               ,0,7.2,1.30194
27039,DODGE               ,0,5.7,1.30194
27041,DOUGLAS             ,0,7.4,1.16849
27041,DOUGLAS             ,0,4.8,1.16849
27041,DOUGLAS             ,0,6.8,1.16849
27041,DOUGLAS             ,0,6.4,1.16849
27041,DOUGLAS             ,1,3.7,1.16849
27041,DOUGLAS             ,0,5.5,1.16849
27041,DOUGLAS             ,0,7.8,1.16849
27041,DOUGLAS             ,0,4.4,1.16849
27041,DOUGLAS             ,0,2.7,1.16849
27043,FARIBAULT           ,0,3.4,1.34316
27043,FARIBAULT           ,0,4.2,1.34316
27043,FARIBAULT           ,0,2.3,1.34316
27043,FARIBAULT           ,1,1.3,1.34316
27043,FARIBAULT           ,0,5.2,1.34316
27043,FARIBAULT           ,0,0.1,1.34316
27045,FILLMORE            ,1,2.5,1.51424
27045,FILLMORE            ,0,3.2,1.51424
27047,FREEBORN            ,0,3.2,1.25133
27047,FREEBORN            ,0,9.6,1.25133
27047,FREEBORN            ,0,4.2,1.25133
27047,FREEBORN            ,0,9,1.25133
27047,FREEBORN            ,0,6.3,1.25133
27047,FREEBORN            ,0,32.6,1.25133
27047,FREEBORN            ,0,13.2,1.25133
27047,FREEBORN            ,1,2.2,1.25133
27047,FREEBORN            ,1,5.6,1.25133
27049,GOODHUE             ,0,14.3,1.21727
27049,GOODHUE             ,1,6.9,1.21727
27049,GOODHUE             ,0,7.6,1.21727
27049,GOODHUE             ,1,9.8,1.21727
27049,GOODHUE             ,0,2.6,1.21727
27049,GOODHUE             ,0,43.5,1.21727
27049,GOODHUE             ,0,4.9,1.21727
27049,GOODHUE             ,0,4.9,1.21727
27049,GOODHUE             ,0,3.5,1.21727
27049,GOODHUE             ,0,4.8,1.21727
27049,GOODHUE             ,0,5.6,1.21727
27049,GOODHUE             ,0,3.5,1.21727
27049,GOODHUE             ,0,3.9,1.21727
27049,GOODHUE             ,0,6.7,1.21727
27053,HENNEPIN            ,0,7.9,0.907991
27053,HENNEPIN            ,0,3.3,0.907991
27053,HENNEPIN            ,1,2.1,0.907991
27053,HENNEPIN            ,0,1.6,0.907991
27053,HENNEPIN            ,0,4,0.907991
27053,HENNEPIN            ,0,1.8,0.907991
27053,HENNEPIN            ,0,2.5,0.907991
27053,HENNEPIN            ,0,11.2,0.907991
27053,HENNEPIN            ,0,2.6,0.907991
27053,HENNEPIN            ,0,3.9,0.907991
27053,HENNEPIN            ,0,7.4,0.907991
27053,HENNEPIN            ,0,1.3,0.907991
27053,HENNEPIN            ,0,0.9,0.907991
27053,HENNEPIN            ,0,0.4,0.907991
27053,HENNEPIN            ,1,2.5,0.907991
27053,HENNEPIN            ,0,6,0.907991
27053,HENNEPIN            ,0,2,0.907991
27053,HENNEPIN            ,0,5.4,0.907991
27053,HENNEPIN            ,0,3,0.907991
27053,HENNEPIN            ,0,2.9,0.907991
27053,HENNEPIN            ,0,5.5,0.907991
27053,HENNEPIN            ,0,4.1,0.907991
27053,HENNEPIN            ,0,3.9,0.907991
27053,HENNEPIN            ,0,14.9,0.907991
27053,HENNEPIN            ,0,7.2,0.907991
27053,HENNEPIN            ,0,2.3,0.907991
27053,HENNEPIN            ,1,2.8,0.907991
27053,HENNEPIN            ,0,4.4,0.907991
27053,HENNEPIN            ,0,1.5,0.907991
27053,HENNEPIN            ,0,8.6,0.907991
27053,HENNEPIN            ,0,5.6,0.907991
27053,HENNEPIN            ,0,8.6,0.907991
27053,HENNEPIN            ,0,3.8,0.907991
27053,HENNEPIN            ,0,1.8,0.907991
27053,HENNEPIN            ,0,1.9,0.907991
27053,HENNEPIN            ,0,5.5,0.907991
27053,HENNEPIN            ,0,2.5,0.907991
27053,HENNEPIN            ,1,0.8,0.907991
27053,HENNEPIN            ,0,2.1,0.907991
27053,HENNEPIN            ,0,2.8,0.907991
27053,HENNEPIN            ,0,3.9,0.907991
27053,HENNEPIN            ,0,4.3,0.907991
27053,HENNEPIN            ,0,4.7,0.907991
27053,HENNEPIN            ,0,2.8,0.907991
27053,HENNEPIN            ,0,4.1,0.907991
27053,HENNEPIN            ,0,1.6,0.907991
27053,HENNEPIN            ,0,4.3,0.907991
27053,HENNEPIN            ,1,0.7,0.907991
27053,HENNEPIN            ,0,5.5,0.907991
27053,HENNEPIN            ,1,3.3,0.907991
27053,HENNEPIN            ,0,5.5,0.907991
27053,HENNEPIN            ,0,2.5,0.907991
27053,HENNEPIN            ,0,2.7,0.907991
27053,HENNEPIN            ,0,8.4,0.907991
27053,HENNEPIN            ,0,3.3,0.907991
27053,HENNEPIN            ,0,3.2,0.907991
27053,HENNEPIN            ,0,8.6,0.907991
27053,HENNEPIN            ,0,1.7,0.907991
27053,HENNEPIN            ,0,5.7,0.907991
27053,HENNEPIN            ,0,13,0.907991
27053,HENNEPIN            ,0,2.7,0.907991
27053,HENNEPIN            ,0,4.7,0.907991
27053,HENNEPIN            ,0,5.6,0.907991
27053,HENNEPIN            ,0,13.8,0.907991
27053,HENNEPIN            ,1,7.6,0.907991
27053,HENNEPIN            ,0,5.7,0.907991
27053,HENNEPIN            ,0,4.6,0.907991
27053,HENNEPIN            ,0,7.6,0.907991
27053,HENNEPIN            ,0,2.6,0.907991
27053,HENNEPIN            ,0,4.5,0.907991
27053,HENNEPIN            ,0,5.9,0.907991
27053,HENNEPIN            ,0,2.2,0.907991
27053,HENNEPIN            ,0,2.4,0.907991
27053,HENNEPIN            ,0,4,0.907991
27053,HENNEPIN            ,0,4.6,0.907991
27053,HENNEPIN            ,0,4.6,0.907991
27053,HENNEPIN            ,0,10.9,0.907991
27053,HENNEPIN            ,0,7.6,0.907991
27053,HENNEPIN            ,0,3,0.907991
27053,HENNEPIN            ,0,1.5,0.907991
27053,HENNEPIN            ,1,1.6,0.907991
27053,HENNEPIN            ,0,16.5,0.907991
27053,HENNEPIN            ,0,3.1,0.907991
27053,HENNEPIN            ,0,5.1,0.907991
27053,HENNEPIN            ,0,4.9,0.907991
27053,HENNEPIN            ,0,6,0.907991
27053,HENNEPIN            ,1,0.9,0.907991
27053,HENNEPIN            ,0,1.8,0.907991
27053,HENNEPIN            ,0,3.9,0.907991
27053,HENNEPIN            ,0,5.6,0.907991
27053,HENNEPIN            ,1,0.4,0.907991
27053,HENNEPIN            ,0,2.6,0.907991
27053,HENNEPIN            ,0,3.6,0.907991
27053,HENNEPIN            ,0,6.2,0.907991
27053,HENNEPIN            ,0,23.6,0.907991
27053,HENNEPIN            ,0,3.9,0.907991
27053,HENNEPIN            ,0,2.9,0.907991
27053,HENNEPIN            ,0,3,0.907991
27053,HENNEPIN            ,0,4.7,0.907991
27053,HENNEPIN            ,0,3,0.907991
27053,HENNEPIN            ,0,4.2,0.907991
27053,HENNEPIN            ,0,3.8,0.907991
27053,HENNEPIN            ,0,3,0.907991
27053,HENNEPIN            ,0,4.3,0.907991
27053,HENNEPIN            ,1,2.9,0.907991
27055,HOUSTON             ,0,3.4,1.65455
27055,HOUSTON             ,0,8.5,1.65455
27055,HOUSTON             ,0,9,1.65455
27055,HOUSTON             ,1,4.8,1.65455
27055,HOUSTON             ,0,3.6,1.65455
27055,HOUSTON             ,1,2.2,1.65455
27057,HUBBARD             ,1,2.8,0.66992
27057,HUBBARD             ,1,0.8,0.66992
27057,HUBBARD             ,0,1.5,0.66992
27057,HUBBARD             ,0,4.6,0.66992
27057,HUBBARD             ,1,3.7,0.66992
27059,ISANTI              ,0,3.6,0.471483
27059,ISANTI              ,0,3,0.471483
27059,ISANTI              ,0,2.2,0.471483
27061,ITASCA              ,0,1.9,0.515124
27061,ITASCA              ,0,2.6,0.515124
27061,ITASCA              ,0,1.8,0.515124
27061,ITASCA              ,0,2.4,0.515124
27061,ITASCA              ,0,4.3,0.515124
27061,ITASCA              ,0,2.6,0.515124
27061,ITASCA              ,0,1.1,0.515124
27061,ITASCA              ,0,3.3,0.515124
27061,ITASCA              ,0,2.5,0.515124
27061,ITASCA              ,0,9.4,0.515124
27061,ITASCA              ,0,1.3,0.515124
27063,JACKSON             ,0,8.4,1.36209
27063,JACKSON             ,0,5,1.36209
27063,JACKSON             ,0,2.9,1.36209
27063,JACKSON             ,0,13.1,1.36209
27063,JACKSON             ,0,15.3,1.36209
27065,KANABEC             ,0,1.8,0.948014
27065,KANABEC             ,0,3.8,0.948014
27065,KANABEC             ,0,7.9,0.948014
27065,KANABEC             ,0,2.6,0.948014
27067,KANDIYOHI           ,0,11.3,1.11598
27067,KANDIYOHI           ,0,4.1,1.11598
27067,KANDIYOHI           ,0,12.3,1.11598
27067,KANDIYOHI           ,0,6.7,1.11598
27069,KITTSON             ,0,6.9,0.992227
27069,KITTSON             ,1,4.5,0.992227
27069,KITTSON             ,1,0.9,0.992227
27071,KOOCHICHING         ,0,1.7,0.414025
27071,KOOCHICHING         ,0,1.4,0.414025
27071,KOOCHICHING         ,1,2,0.414025
27071,KOOCHICHING         ,1,1,0.414025
27071,KOOCHICHING         ,0,1,0.414025
27071,KOOCHICHING         ,1,2.8,0.414025
27071,KOOCHICHING         ,1,1.3,0.414025
27073,LAC QUI PARLE       ,1,11.3,1.36483
27073,LAC QUI PARLE       ,1,11.3,1.36483
27073,LAC QUI PARLE       ,0,16,1.36483
27073,LAC QUI PARLE       ,0,16,1.36483
27075,LAKE                ,1,1.3,0.500776
27075,LAKE                ,0,1.3,0.500776
27075,LAKE                ,0,1.6,0.500776
27075,LAKE                ,0,0.9,0.500776
27075,LAKE                ,0,2.8,0.500776
27075,LAKE                ,0,0.5,0.500776
27075,LAKE                ,0,1.5,0.500776
27075,LAKE                ,0,7.1,0.500776
27075,LAKE                ,0,0.5,0.500776
27077,LAKE OF THE WOODS   ,0,10.1,0.505752
27077,LAKE OF THE WOODS   ,1,4.3,0.505752
27077,LAKE OF THE WOODS   ,0,3.3,0.505752
27077,LAKE OF THE WOODS   ,1,2.9,0.505752
27079,LE SUEUR            ,0,12.5,1.21464
27079,LE SUEUR            ,1,4.2,1.21464
27079,LE SUEUR            ,0,4.5,1.21464
27079,LE SUEUR            ,0,3.9,1.21464
27079,LE SUEUR            ,0,3.3,1.21464
27081,LINCOLN             ,0,17.5,1.56034
27081,LINCOLN             ,0,10.6,1.56034
27081,LINCOLN             ,0,7.9,1.56034
27081,LINCOLN             ,1,3.5,1.56034
27083,LYON                ,0,6.5,1.48399
27083,LYON                ,1,6.9,1.48399
27083,LYON                ,0,5.1,1.48399
27083,LYON                ,0,12,1.48399
27083,LYON                ,0,5.1,1.48399
27083,LYON                ,0,8.9,1.48399
27083,LYON                ,0,5.8,1.48399
27083,LYON                ,0,4.6,1.48399
27087,MAHNOMEN            ,0,3.9,1.16137
27089,MARSHALL            ,1,1.5,1.01386
27089,MARSHALL            ,0,23.8,1.01386
27089,MARSHALL            ,1,0.9,1.01386
27089,MARSHALL            ,1,1.4,1.01386
27089,MARSHALL            ,1,1.1,1.01386
27089,MARSHALL            ,0,2.8,1.01386
27089,MARSHALL            ,0,48.2,1.01386
27089,MARSHALL            ,1,0.9,1.01386
27089,MARSHALL            ,0,8.3,1.01386
27091,MARTIN              ,0,4.1,1.18041
27091,MARTIN              ,1,0.5,1.18041
27091,MARTIN              ,0,6.7,1.18041
27091,MARTIN              ,0,7.5,1.18041
27091,MARTIN              ,0,9.2,1.18041
27091,MARTIN              ,0,0.5,1.18041
27091,MARTIN              ,0,1.5,1.18041
27085,MCLEOD              ,0,10.3,1.15076
27085,MCLEOD              ,0,3.9,1.15076
27085,MCLEOD              ,0,1.8,1.15076
27085,MCLEOD              ,0,9.9,1.15076
27085,MCLEOD              ,0,2.3,1.15076
27085,MCLEOD              ,0,4.4,1.15076
27085,MCLEOD              ,0,2.8,1.15076
27085,MCLEOD              ,1,1.1,1.15076
27085,MCLEOD              ,0,1.2,1.15076
27085,MCLEOD              ,1,1.6,1.15076
27085,MCLEOD              ,1,25.4,1.15076
27085,MCLEOD              ,1,0.1,1.15076
27085,MCLEOD              ,0,10.6,1.15076
27093,MEEKER              ,0,2.3,1.02424
27093,MEEKER              ,0,3.9,1.02424
27093,MEEKER              ,0,7.2,1.02424
27093,MEEKER              ,0,2.1,1.02424
27093,MEEKER              ,0,3.2,1.02424
27095,MILLE LACS          ,1,0.5,0.810536
27095,MILLE LACS          ,0,5.7,0.810536
27097,MORRISON            ,0,1.4,0.910987
27097,MORRISON            ,0,2.1,0.910987
27097,MORRISON            ,0,4.4,0.910987
27097,MORRISON            ,0,2.4,0.910987
27097,MORRISON            ,0,4.9,0.910987
27097,MORRISON            ,1,3,0.910987
27097,MORRISON            ,0,3,0.910987
27097,MORRISON            ,0,2.8,0.910987
27097,MORRISON            ,0,3.9,0.910987
27099,MOWER               ,0,10.9,1.29814
27099,MOWER               ,0,6.4,1.29814
27099,MOWER               ,0,2,1.29814
27099,MOWER               ,0,3,1.29814
27099,MOWER               ,0,4.5,1.29814
27099,MOWER               ,0,2.1,1.29814
27099,MOWER               ,0,8,1.29814
27099,MOWER               ,1,1.3,1.29814
27099,MOWER               ,0,9.2,1.29814
27099,MOWER               ,1,1.1,1.29814
27099,MOWER               ,0,10.6,1.29814
27099,MOWER               ,0,24,1.29814
27099,MOWER               ,0,9.1,1.29814
27101,MURRAY              ,0,12.1,1.49011
27103,NICOLLET            ,0,8.1,1.28152
27103,NICOLLET            ,0,10.8,1.28152
27103,NICOLLET            ,0,4.2,1.28152
27103,NICOLLET            ,0,15.7,1.28152
27105,NOBLES              ,0,5.4,1.49998
27105,NOBLES              ,0,6.2,1.49998
27105,NOBLES              ,0,9.7,1.49998
27107,NORMAN              ,0,8.1,1.30372
27107,NORMAN              ,0,1.6,1.30372
27107,NORMAN              ,1,1.6,1.30372
27109,OLMSTED             ,0,6.4,1.27526
27109,OLMSTED             ,0,4.4,1.27526
27109,OLMSTED             ,0,11.2,1.27526
27109,OLMSTED             ,0,10,1.27526
27109,OLMSTED             ,0,4.5,1.27526
27109,OLMSTED             ,0,8,1.27526
27109,OLMSTED             ,0,2.3,1.27526
27109,OLMSTED             ,0,3.2,1.27526
27109,OLMSTED             ,0,5,1.27526
27109,OLMSTED             ,0,4.1,1.27526
27109,OLMSTED             ,0,1.1,1.27526
27109,OLMSTED             ,0,2,1.27526
27109,OLMSTED             ,1,1.1,1.27526
27109,OLMSTED             ,0,2.9,1.27526
27109,OLMSTED             ,0,2.1,1.27526
27109,OLMSTED             ,0,7.8,1.27526
27109,OLMSTED             ,0,3.8,1.27526
27109,OLMSTED             ,0,2.5,1.27526
27109,OLMSTED             ,0,2.9,1.27526
27109,OLMSTED             ,1,1.7,1.27526
27109,OLMSTED             ,0,2.5,1.27526
27109,OLMSTED             ,0,9.4,1.27526
27109,OLMSTED             ,1,0.6,1.27526
27111,OTTER TAIL          ,0,2.7,0.814867
27111,OTTER TAIL          ,1,1.1,0.814867
27111,OTTER TAIL          ,1,2.1,0.814867
27111,OTTER TAIL          ,0,12,0.814867
